Подiя;Дата/час скоєння;Вулиця;Будинок
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.07.2015 0:00;Окружна;16
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.07.2015 21:30;Свободи просп.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.12.2015 20:35;Мирного Панаса;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.09.2015 19:23;Мирного Панаса;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.06.2015 18:40;Мирного Панаса;20
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.12.2015 19:48;Панча П.;9
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.10.2015 13:15;Пасічна;42
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.09.2015 20:30;Пасічна;90
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.08.2015 3:30;Пасічна;79
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.10.2015 12:35;Пасічна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.12.2015 0:05;Пасічна;91
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.09.2015 10:30;Пасічна;42
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.05.2015 20:00;Пасічна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.04.2015 20:28;Пасічна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.04.2015 12:31;Пасічна;11
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.01.2015 21:35;Пасічна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.12.2015 12:20;Пасічна;47
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.09.2015 20:15;Пасічна;21
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.09.2015 20:50;Пасічна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.08.2015 1:35;Пасічна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.04.2015 20:20;Пасічна;37
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.10.2015 17:20;Патона Є.;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.06.2015 15:00;Патона Є.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.06.2015 17:20;Патона Є.;37
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.04.2015 14:40;Патона Є.;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.03.2015 16:30;Патона Є.;31
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.01.2015 21:55;Патона Є.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.12.2015 17:10;Патона-Ряшівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.08.2015 22:30;Перфецького Л.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.05.2015 23:00;Перфецького Л.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.04.2015 15:20;Перфецького Л.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.01.2015 16:20;Перфецького Л.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.09.2015 16:30;Петлюри С.;4
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.09.2015 17:25;Петлюри С.;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.04.2015 14:25;Петлюри С.;30
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.03.2015 9:00;Петлюри С.;47
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.02.2015 22:00;Підвальна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.01.2015 13:20;Пластова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.09.2015 8:20;Повітряна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.06.2015 23:30;Повітряна;94
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.05.2015 13:00;Повітряна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.10.2015 21:10;Повітряна;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.08.2015 13:30;Повітряна;46
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.05.2015 12:05;Підвальна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.05.2015 14:50;Підвальна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.04.2015 15:05;Підвальна;6
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.12.2015 11:47;Свободи просп.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.05.2015 20:20;Червоної Калини просп.;52а
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.12.2015 13:45;Промислова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.12.2015 15:50;Промислова;50
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.07.2015 13:15;Промислова;29
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.03.2015 9:40;Промислова;4
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.02.2015 12:15;Промислова;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.11.2015 0:03;Під Дубом;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.07.2015 14:30;Ринок пл.;14
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.10.2015 19:30;Рудненська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.04.2015 9:05;Рудненська;10
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.09.2015 8:00;Руставелі Ш.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.12.2015 15:09;Бандери С.;32а
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.10.2015 14:00;Бандери С.;9
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.02.2015 1:00;Бандери С.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.12.2015 12:10;Святого Теодора пл.;5
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.12.2015 2:15;Садова;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.06.2015 18:00;Саксаганського П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.02.2015 18:30;Саксаганського П.;8
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.11.2015 17:09;Самійленка В.;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.02.2015 10:40;Сар'яна М.;6
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.11.2015 11:50;Сахарова А.,акад.;52
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.10.2015 13:02;Сахарова А.,акад.;44
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.10.2015 11:20;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.10.2015 9:40;Сахарова А.,акад.;82
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.09.2015 10:15;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.08.2015 10:40;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.07.2015 18:30;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.07.2015 22:37;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.07.2015 16:50;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.07.2015 18:24;Сахарова А.,акад.;28
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.06.2015 2:20;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.05.2015 7:50;Сахарова А.,акад.;32
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.10.2015 23:25;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.06.2015 15:00;Сахарова А.,акад.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.03.2015 3:50;Святого Юра пл.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.09.2015 17:20;Свободи просп.;5
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.04.2015 13:40;Свободи просп.;12
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.03.2015 13:30;Свободи просп.;41
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.01.2015 17:40;Свободи просп.;16
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.07.2015 14:15;Свободи просп.;41
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.05.2015 10:00;Свободи просп.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.08.2015 19:20;Сигнівка;7
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.11.2015 17:15;Симоненка В.;22
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.04.2015 18:00;Симоненка В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.01.2015 10:46;Симоненка В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.01.2015 15:50;Симоненка В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.01.2015 19:35;Симоненка В.;4
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.12.2015 16:35;Сихівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.11.2015 7:55;Сихівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.01.2015 16:30;Сихівська;16
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.06.2015 23:55;Сихівська;3
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.04.2015 0:00;Сихівська;16
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.10.2015 15:00;Скельна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.04.2015 11:00;Скрипника М.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.09.2015 12:15;Скрипника М.;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.07.2015 20:40;Скрипника М.;10
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.08.2015 18:15;Соборна пл.;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.01.2015 14:30;Соборна пл.;13
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.07.2015 12:15;Бандери С.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.09.2015 12:00;Бандери С.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.06.2015 7:40;Бандери С.;7
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.12.2015 15:10;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.10.2015 23:30;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.09.2015 8:00;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.08.2015 21:20;Стрийська;.
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.07.2015 18:20;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.06.2015 16:50;Стрийська;312
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.06.2015 0:00;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.06.2015 14:00;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.03.2015 11:15;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.12.2015 8:30;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.11.2015 17:30;Стрийська;310
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.11.2015 21:27;Стрийська;176
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.06.2015 1:30;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.11.2015 18:20;Стрийська;74
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.11.2015 21:00;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.11.2015 19:40;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.11.2015 11:40;Стрийська;30
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.11.2015 9:20;Стрийська;71
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.10.2015 15:20;Стрийська;109
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.10.2015 19:00;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.09.2015 14:05;Стрийська;45
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.08.2015 19:30;Стрийська;78
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.07.2015 19:35;Стрийська;202
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.06.2015 1:00;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.06.2015 23:50;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.04.2015 23:00;Стрийська;47
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.04.2015 22:40;Стрийська;75
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.04.2015 12:40;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.04.2015 9:20;Стрийська;350
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.03.2015 21:04;Стрийська;6
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.03.2015 20:15;Стрийська;88
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.02.2015 20:00;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.02.2015 19:30;Стрийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.02.2015 13:00;Стрийська;4
